,5,2018년 12월 5일, 잼있어요 ㅋ
0,5,2018년 11월 14일, 굳굳 강추합니다
1,5,2018년 11월 11일, 넘재밌어요 시간가는줄 모르겠어요
2,5,2018년 11월 25일, 꿀잼!
3,4,2018년 12월 1일, 머리를써야함.
4,5,2018년 11월 12일, Good quality
5,5,2018년 11월 25일, 짱짱!!
6,5,2018년 11월 25일, 굿
7,5,2018년 9월 22일," 클루가 넘 하고 싶어서 혹시나 하고 받았는데, 넘 만족스러워요! 기본 테마만 있어도 충분해서 굳이 유료 테마는 사지 않았어요. 다만 터치가 잘 안 먹는 느낌? 그거 빼면 다 좋아요!"
8,5,2018년 8월 25일," 영어라도 클루 룰 알면 즐겁게 할 수 있지만 어플 자체가 유료인데 인앱결제가 조금 센 가격임 그렇다고 인앱결제 강요하는게 아니라 캐릭터, 테마가 늘어나는거라서 기본만 있어도 충분히 좋은 게임"
9,1,2018년 9월 5일, 한글패치도 안되있어서 하기 힘들고 뭐가뭔지.. 그리고 유료겜인데 안에서도 결제해야 다 할수있고 별로에요
