,4,2018년 11월 25일," 제가 제일 좋아하는 게임이고 다 좋은데 왜 다이아 지원 광고에 나온 게임 해서 다이아 받기 조건 충족했는데도 다이아 안들어옵니까? 1개, 2개짜리 작은것은 바로 바로 주면서 큰건은 곧 들어온다고 뜨기만 하고 절대 안들어오네요. 제대로 꾸며보겠다고 광고보고 다른게임까지 해서 시간낭비까지 했는데..어서 넣어주세요."
0,5,2018년 10월 3일, 좋아요
1,3,2018년 9월 7일," 여기에 리뷰 남기면 보시기는 하는건가요? 다이아몬드 얻으려고 게임 설치하고 실행했는데 안 들어오고, 설문조사도 545개 주는거 했는데 안주네요...뭐죠?"
2,1,2018년 7월 17일," I bought a starter pack but it didn't work. the payment has been made. 
결제만되고 날라갔습니다. 허공에 돈날렸네요. 빠른 확인부탁합니다."
3,1,2018년 6월 7일, 왜 연결이 안되는거죠?인테넷연결 멀쩡한데?
4,1,2018년 6월 7일, 연결안됨.
5,3,2018년 6월 3일," 와이파이 멀쩡히 잘 연결돼있는데 접속할때 자꾸 인터넷 연결에 문제있다고 하고 접속하고나서도 Inbox 들어가보면 눌러도 창도 안뜨고 앱 
오류난것 같은데요;; 해결 좀 해주세요"
6,5,2018년 5월 9일, It's very good game~
7,4,2018년 4월 22일, 원래 게임 잘 안하는데 돈쓰기는 처음ㅠㅠㅎㅎ 현실감있는 그래픽과 성취감에 중독성 인정!
8,5,2018년 4월 17일, perfect! So addictive
9,4,2018년 4월 17일," 와..정말 돈 잡아먹는 귀신이네요..ㅜㅜㅜ 평점4.0을 넘기고 가구들을 얻기위해서는 돈을 안쓰고는 게임이 안되는군요... 데일리 
다이아몬드가 너무 작다고 생각됩니다.."
