,5,2018년 12월 4일, 아이폰은 공 던지는게 빠르던데 아이폰이 아니여서 안빠른가? 제 친구는 아이폰인데 공 던지는게 빨라서 좋아보이는데 제 폰은 느려요
0,1,2018년 12월 4일, ㄱㄱㅜㄹ 잼
1,5,2018년 12월 1일, 졸잼
2,5,2018년 12월 3일, Uhhhhhhhhhhhhhh
3,5,2018년 11월 24일, 아직 초반이지만 단순하고 타격감이 좋네요
4,3,2018년 11월 20일, 너무 레벨이 높아지면서 빨간색이 너무 많이 생겨서 너무 어려워용
5,5,2018년 11월 21일, 심심할때 언제 어디서 가능해서 편리하고 재밌음
6,1,2018년 11월 30일, 광고가너무만아서하는데게빡침...난안함
7,5,2018년 11월 17일, It is really entertaining
8,5,2018년 11월 22일, This game is so easy! i love it and fun! It's so interesting!
9,2,2018년 11월 23일, 제미없어묘
