,5,2018년 12월 6일, 저 베타 버전하고 삭제하고 앱을 지우고 다시 깔라고 해서 했는데 모든게초기화 돼어 버렸어요ㅠㅠㅠ 복구 부탁합니다.
0,1,2018년 11월 29일, 저..계속. 깔았다가 지웠는데 친구맵에 안들어가져요
1,5,2018년 12월 1일, 굿!!!
2,4,2018년 12월 5일, 좋네요.... 친구맵이나 멀티 플래이 하려고 했는데 만약 친구에 아무도 없으면 버전이 같은지 확인 하시고 만약 같은데 안 뜨면 와이파이를 보세요 와이파이가 같아야 됨니다 만약 로그인을 하면 와이파이가 같을 필요 없이 그냥 됩니다.
3,5,2018년 12월 2일, 이거 잠깐 지웠다 깔았는데 로그인이 안되있길레 다시 하는 데 계속 안된다고 떠요 이거좀 어떻게 해주세요
4,5,2018년 11월 30일, 이건 제 부탁인데 데스런 깔았더니 팅김 그해서 지웠다 깔아도 계속 안됨 수정 좀.....
5,3,2018년 12월 2일, 이거 정식 버전으로 업데이트 언제되나요? 베타는 오류가 너무 많아서 즐길 수 가 없네요 빨리 업데이트좀요 ;; ^^
6,5,2018년 12월 1일, 너무꿀잼 계속 하게되서 재미있음
7,1,2018년 11월 30일, 아아악 진짜 오류떠!
8,5,2018년 11월 30일, 아주 좋아요
9,5,2018년 12월 1일, 꿀잽
