,1,2017년 4월 23일, Ollar 관련 업적이 두개다 96%에서 더이상 안올라가는거랑 (40000ollar 넘게벌었는데...) starite 관련 업적이 98%에서 안넘어가는 이유좀........ 달성못함이거ㅡ?ㅜㅜㅜ 그리고 이번업데이트하고 다깨논거 다날라가서 월드1 다시깨노니까 월드2가안열림. 어쩌라는거야이거
0,5,2016년 5월 13일,재미있네요 영어 공부도 되고요 ㅎㅎ
1,3,2017년 12월 25일, 한국어 아님 브라질어 도 추가해세여. 언어때문에 게임에서 번역으로 나갔다 왔다 해야해요.기왕이면 브라질어도 좀 넣어주세요.
2,5,2016년 6월 17일,감사합니다 몇년전부터 하고싶던 게임 드디어 찾았네요 보자말자 결재했습니다
3,5,2018년 4월 6일, 오랜만이네요 ㅋㅋ 추억인생겜인데 개꿀잼
4,5,2016년 7월 3일,이런게임은 찾기힘든데 최고입니다
5,5,2016년 8월 11일,정말재미있어요. 돈 주고 사용해도 안아까운 게임이네요.
6,4,2016년 8월 14일,결제오류가 났네요 1.10달러로 결제 했는데 1.00달러가 또 결제되었습니다. 결제오류 났는데 빠른 환불 부탁드립니다
7,5,2017년 3월 23일, 한글 지원좀 해주세요
8,5,2017년 3월 5일, Wow this game vere weasome!
9,5,2017년 2월 28일, 짱! 짱! 이것이 제가 원하던 게임입니다!
