,2,2018년 11월 8일, sound bug please
0,1,2018년 9월 18일, 패드 대응 잘 되던게 가로모드로 바꾸면 다 안되고 난리... 아 진짜 못해먹겠네
1,2,2018년 11월 13일, 왜이렇게 오류가 심해진 거죠 전에는 안그랫던거 같은데 터보오류 저장오류 실행오류 오류 오류 오류
2,1,2018년 9월 4일, Lite 버전에서 사용하던 세이브는 어떻게 가져와야하나요?
3,3,2018년 9월 30일, 슈퍼 동키콩 컨트리 1 이 업뎃 후 안 되네요~~
4,3,2018년 4월 16일, 다 좋아서 결재까지 했는데 중국산 wee패드 세팅은 확실히 했는데 게임상 동작을 안합니다. 무료 어플에건 잘 되는데요 ㅠ 너무 아쉽네요.
5,3,2018년 6월 8일, 8bitdo패드 방향키가 작동안함. 그 외 블루투스 패드 연결에 문제가 있는거 같음.
6,1,2018년 2월 17일, 저장할라고샀는데안돼잔ㅅ아
7,1,2017년 12월 31일, area88 sound noise
8,5,2017년 10월 31일, 슈퍼패미콤 인가 현대수퍼컴보이 게임이 하고싶을땐 이게 짱좋습니다.
9,1,2017년 10월 18일, 다른무료앱도 돌아가는 겜이 깨짐... 참내 어이없네..
