,3,2018년 9월 2일, 전버전이더 좋것 같고 맵들 다그냥 이용하게해주세요 게임도 돈주고 샀는데 맵도 사야되나요?
0,5,2018년 8월 6일, omsi 2 님 재미없다고 환불해달라는게 말이되요?
1,5,2018년 8월 13일, 너무 재밌네요ㅎㅎ 돈주고산 의미가 있는거 같아요ㅎ
2,5,2018년 8월 26일, It's very funny. It's very controlled.
3,3,2018년 9월 12일, 현질유도가좀.......
4,5,2018년 7월 9일, 맵일부분만 다는 안원하는데 일부분만 맵 그 게임돈으로 좀 바꿔주세요
5,2,2018년 7월 9일, 구글 플레이에 로그인이 왜 안될까요? 그리고 한국어 번역이 된건지 안된건지 모르겠네요.
6,1,2018년 8월 4일, 환불 부탁드립니다. 첫날은 재미있는줄 알았는데 재미가 없네요환불해주십시오
7,4,2018년 7월 11일, 이 게임은 보드와 함께합니다 옆에친구를죽이고싶네요
8,3,2018년 7월 14일, 살때도돈내고사는대맵몇개는겜돈으로사게해주면않돼나
9,5,2018년 7월 10일, 생각보다 정말 재밌는 게임이다
