,4,2018년 12월 1일, 안젤라도 춤을 너무 잘 추고 귀여운데 춤 추는 스튜디오 공연할때 왜 음악이 같은것만 나오죠? 글고 다른 동작들도 추가해주시면 좋을거같아요!
0,5,2018년 12월 1일," 게임은 되게 재밌고 좋은데 보석이나 골드모으는게 너무 힘든 것 같아요! 출석이나 이벤트로 보석,골드,음식등등 주는걸로 하면 되게 좋을 것 같아요"
1,4,2018년 12월 4일, 게임이나 시스템 자체는 정말 재밌는데 댄스 스튜디오에서 산 특별 동작이 다시 잠겨있네요.. 오류인가요?? 보석을 2개나 날렸는데 ㅠㅠㅠ...
2,4,2018년 12월 2일, 춤으로 화장 다 잠금 풀렷는데 다시 되잇고 춤동작도 삿는데 다시 잠겨서 보석 날린건가요 .. ㅠ 어떻게 된거죠 ...
3,4,2018년 12월 2일, 정말 재밌는데.. 저장이 안 될 때가 조금 있네요.. 그래도 정말 재밌습니다.
4,5,2018년 12월 2일, 만드신 분 존경!글구 안젤라 귀요미 구 요 저 안젤라6세 고 요 어른스럽게 꾸며도 완전 귀요미에요 만드신 분♡~♡
5,4,2018년 12월 3일, 열심히 게임하고 리뷰 남겨봐요! 화장을 시키고 게임을 끄거나 다른 행동을 하면 안젤라의 화장이 다르게 바뀌어있어요. 이 부분만 바뀌면 정말 좋을 것 같아요
6,5,2018년 11월 30일, 이 게임을 만드신 부운! 정말 존경하구요 재미잇슴다~별 5개 누릅니당
7,4,2018년 12월 2일, 어릴때 엄마폰으로 하던게 생각나서 다시하는데 어릴때 하던 재미가 쏠쏠하구 여전히 젬있어여ㅎㅎ
8,5,2018년 12월 1일, 어머나 이렇게 이쁜 게임은 처음봤어용 ♡ 안젤라가 너무 사랑스러워서 중독성잇습니다 ㅇㅁㅇ ㅎㅎ
9,5,2018년 12월 3일, 안젤리나 가귀엽고옷도입힐수있고화장을할수있스니까더좋아 요
