,1,2018년 11월 21일, 광고 너무 많음 게임을 하는지 광고를 보는지 모를 정도임 ㅡㅡ
0,1,2018년 7월 14일, 망겜
1,5,2017년 12월 26일, 갑자기 문제가 독일어로 나오게됬어요ㅠㅠ 어떻게 바꾸나요
2,5,2017년 12월 15일, 중간광고 30초 빼고는 ㄹㅇ 퍼펙트
3,5,2017년 10월 7일, 제일 비싼 왕관살껀데 왕관 모양이 너무 못 생겼어요
4,5,2017년 8월 23일, 답변을 알려줄때 문제가 바로 끝나고 알려주세요 나중에 답변보기 말구요 ㄱ그거  변경해주세요
5,1,2017년 8월 4일, 친구랑 페이스북 연동해서 같이 게임을하고잇엇는데 친구가 게임을 안하는데도 접속해서 플레이하는것처럼 게임 매칭이되죠? 원래 게임플레니 안하고잇어도 매칭이되는건가요 아니면 사칭인가요? 기분나빠서 지웁니다 ..
6,5,2017년 8월 6일, Me gusta mucho y aprendo igual
7,4,2017년 6월 24일, 재밌게 플레이 중인데요 과학 문제에서 오류 수정 부탁드려요 문제는 사과 4개 바나나2개 양배추 1개면 과일이 몇개일까인데 답은 6개로 나오더라구요 그럼 사과하고 바나나가 과일이시라는 말씀이신데 바나나는 과일이 아니라 풀입니다. 오류수정 부탁드려요
8,1,2017년 6월 17일, 문재 수준이 ... 높은건가.  문재 엄청 어렵내 거의 찍을수 밖애 없는것들 뿐이내. 내 평생 오늘 처음 듣는 정보들을 많이 봤내요.  다들 어디서 그런것들을 알아내시는지...  ...이개임 암만봐도 99%확실한 현질겜입니다만. ? 퀴즈를 잘하던가 못하면 하트를 잃고... 그럼 게임을 못하고
9,5,2017년 6월 2일, 괜찮아요 가끔씩 질문 오타나고 말도 안되는거 나오는것만 빼면
