,3,2018년 10월 27일, 아니 게임은 진짜 재밌어요 근데 제 친구가 애기포션을 샀거든요???당연히 진짜 돈으로 하니까 계속 애기인줄 알앗어요 그런데 원래잇던 가발은 애기크기여서 못 쓰게하고 애기는 점점 커져서 지금은 91%가 어른이고 그럴꺼면 애기포션을 게임코인으로 하지 왜 현질을 하게 해요???심지어 애기도 천천히 자라는게 아닌 처음시작할때 애기가 어른으로 자라는 속도가 똑같아요 진짜 이것만 고쳐주시면 최고 좋은게임일꺼 같네요
0,5,2018년 10월 12일, ㅠㅜ 제가 애완동물을 기르고 싶은데 부모님이 반대하셔요....근데 어느날 친구의 추천에 의해서 포우를 깔아봤죠 그런데....포우가 너무 귀엽고 애완동물 같아서 너무 좋네여~!제작자님감사해요ㅠㅠ
1,5,2018년 8월 9일," 저...삭제했다가 다시 되돌리는것을 모르는분들이 많으셔서 알려드릴려고합니다.. 오른쪽위에 포우모양을 클릭하고 자신의 이메일과 비밀번호를 
누릅니다. 그리고 다시 포우모양에 들어가서 계정누르고 게임저장 누르면 됩니다"
2,1,2018년 9월 29일, 아니 오랜만에하는데 진짜 움직이는데 렉걸려서죽음 실화야? 솔직히 이게임 예전에도 했었는데 그때는아무문제도없었거든요? 근데지금은진짜 와 어이가없어 짜증나 하지않는걸 추천해요!!!
3,5,2018년 10월 10일, 포우를 만드신 작가님!!!저 이 게임만 보고 깜짝!놀랐습니다!! 저가 찼는게임이 없어서 그런게임 을 찼고있었는데.. 그 게임이 동물키우는 게임인데 포우가 제가 찼는 게임이랑 꼭 한번 해봤가는듯이!! 똑같아요!! 포우를 만드신 작가님!! 정말 감사드림니다.!! 여러분들은 동물키우는 게임 하시고싶으시면 이게임해보셔도 좋을것같고요.! 포우를만드신 작가님!! 정말 좋은 게임인것 같아요.! 정말 감사합니다.!!! 그럼 안녕히 게세요!!!!!!(이름.나디아) 가짜임ㅋ
4,5,2018년 8월 15일," 저는 이 게임을 즐기고 유전데요. 저만 그런가요?? 옷을 샀는데요, 안 사지고 돈만 줄어들어서요... 그것만 고치면 정말 최고예요!! 
이 게임을 만들어주셔서 정~ 말 감사합니당~!! ^ ^"
5,3,2018년 7월 16일, 제가아직50레벨이아니여마스크를못샀어요근데 제가뭐를잘못눌러서그게1999원(코인)으로사버려서..그런거빼곤다좋은데ㅠㅠ속상합니다
6,5,2018년 10월 7일, 비치발리볼이 레알 갓겜임 어렵다구 안하고있었지? 이건 미쳤어 개재밌어 비치발리볼 개갓겜이야 이건 !!
7,4,2018년 11월 20일, 제가 애완동물을 좋아하거든요... 근대 저의 부모님이 반대 했거든요 이 게임을 설 치 했는데 재밌고 귀엽네요
8,3,2018년 7월 31일," 다른게임은 좋은데 왜connect게임만 이상하죠? 1.터치가 잘 안됀다 2.시간이 다른거보다 빨리 흐른다 3.이어지지 않는다 
connect게임 고쳐주세요 그럼 이만"
9,4,2018년 7월 14일," 다 좋은데 실수로 옷을 구매해서 지울려고 하는데 안되네요... 지우고 다시 깔게 생겼어요,.. 수정 해 주시고 제 코인좀 돌려주세요!"
